brand_name,generic_name,Company_Name,Serious_Adverse_Effects,Contraindications,Monitoring_Required
Bimat,Bimatoprost,Ajanta Pharma,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Bimat -T,Bimatoprost+ Timolol,Ajanta Pharma,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Bimat LS,Bimatoprost,Ajanta Pharma,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Bitoma Eye Drop,Bimatoprost,Ajanta Pharma,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
Delzoc-T,Dorzolmide+Timolol,Ajanta Pharma,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Gloria,Bimatoprost,Ajanta Pharma,"Cystoid macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to bimatoprost or formulation components,"Intraocular pressure (IOP), iris pigmentation, eyelash changes, ocular inflammation"
NeTALo,Netarsudil,Ajanta Pharma,"Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","Severe hypersensitivity reactions (rare), significant corneal epithelial changes (rare)","IOP, conjunctival hyperemia, corneal examination (for verticillata), visual acuity, ocular tolerability"
Tafluma,Tafluprost,Ajanta Pharma,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to tafluprost or formulation components,"IOP, iris pigmentation, eyelash changes, ocular surface condition"
Trovaxo,Taravoprost,Ajanta Pharma,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Simbrinza,Brinzolamide + Brimonidine,Alcon,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Timolast,Timolol,Alcon,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
Travatan,Travoprost,Alcon,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Travatan Z,Travoprost,Alcon,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Brinzemic-B,Brinzolamide+ Brimonidine,Alembic,"Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions","Hypersensitivity, severe renal impairment, MAO inhibitor therapy","IOP, ocular allergy, renal function, blood pressure"
Travisight,Travoprost,Alembic,"Macular edema (rare), uveitis, severe ocular inflammation",Hypersensitivity to travoprost or excipients,"IOP, iris pigmentation, ocular surface changes, signs of inflammation"
Alphagan,Brimonidine,Allergan,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Alphagan Z,Brimonidine,Allergan,"Severe hypersensitivity, hypotension, CNS depression (rare)","Neonates and infants (<2 years), MAO inhibitor therapy, hypersensitivity","IOP, blood pressure, ocular allergy, CNS effects"
Betagan,Levobunolol,Allergan,"Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure","IOP, heart rate, blood pressure, respiratory function"
COMBIGAN,Brimonidine + Timolol,Allergan,"Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis","Asthma, severe COPD, sinus bradycardia, AV block, MAO inhibitor therapy, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, ocular allergy"
Dorcor-T,Dorzolmide+Timolol,Allergan,"Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)","Asthma, severe COPD, sinus bradycardia, AV block, severe renal impairment (CrCl <30 mL/min), sulfonamide hypersensitivity","IOP, renal function (when clinically indicated), heart rate, blood pressure, respiratory status, ocular irritation"
Ganfort,Bimatoprost + Timolol,Allergan,"Bronchospasm, severe bradycardia, heart block, worsening heart failure, macular edema (rare)","Bronchial asthma, severe COPD, sinus bradycardia, second/third-degree AV block, overt cardiac failure, hypersensitivity","IOP, heart rate, blood pressure, respiratory function, iris pigmentation, ocular inflammation"
