brand_name,generic_name,Company_Name,Organization,Publication_Year,Recommendation,Recommendation_Strength,Evidence_Level
Bitoma Eye Drop,Bimatoprost,Ajanta Pharma,AAO,2024,First-line Therapy,Strong,High
NeTALo,Netarsudil,Ajanta Pharma,AAO,2024,Second-line / Add-on Therapy,Moderate,Moderate
Bimat,Bimatoprost,Ajanta Pharma,AAO,2024,First-line Therapy,Strong,High
Bimat LS,Bimatoprost,Ajanta Pharma,AAO,2024,First-line Therapy,Strong,High
Bimat -T,Bimatoprost+ Timolol,Ajanta Pharma,AAO,2024,First-line Therapy,Strong,High
Gloria,Bimatoprost,Ajanta Pharma,AAO,2024,First-line Therapy,Strong,High
Trovaxo,Taravoprost,Ajanta Pharma,EGS,2023,First-line Therapy,Strong,High
Tafluma,Tafluprost,Ajanta Pharma,EGS,2023,First-line Therapy,Strong,High
Delzoc-T,Dorzolmide+Timolol,Ajanta Pharma,NICE,2022,Add-on Therapy,Strong,High
Simbrinza,Brinzolamide + Brimonidine,Alcon,AAO,2024,Add-on Fixed Combination Therapy,Strong,High
Travatan,Travoprost,Alcon,EGS,2023,First-line Therapy,Strong,High
Travatan Z,Travoprost,Alcon,EGS,2023,First-line Therapy,Strong,High
Timolast,Timolol,Alcon,ICO,2022,Alternative First-line / Add-on Therapy,Moderate,High
Brinzemic-B,Brinzolamide+ Brimonidine,Alembic,AAO,2024,Add-on Fixed Combination Therapy,Strong,High
Travisight,Travoprost,Alembic,EGS,2023,First-line Therapy,Strong,High
Lumigan,Bimatoprost,Allergan,AAO,2024,First-line Therapy,Strong,High
COMBIGAN,Brimonidine + Timolol,Allergan,AIOS,2023,Add-on Fixed Combination Therapy,Strong,High
Ganfort,Bimatoprost + Timolol,Allergan,AIOS,2023,Add-on Fixed Combination Therapy,Strong,High
Alphagan,Brimonidine,Allergan,EGS,2023,Add-on Therapy,Moderate,High
Alphagan Z,Brimonidine,Allergan,EGS,2023,Add-on Therapy,Moderate,High
Betagan,Levobunolol,Allergan,GSI,2023,Alternative First-line Therapy,Moderate,High
Glucomol,Timolol,Allergan,ICO,2022,Alternative First-line / Add-on Therapy,Moderate,High
Dorcor-T,Dorzolmide+Timolol,Allergan,NICE,2022,Add-on Therapy,Strong,High
Glucotim LA,Timolol,Centaur Pharmaceuticles,ICO,2022,Alternative First-line / Add-on Therapy,Moderate,High
Brimodine B,Brinzolamide+ Brimonidine,Cipla,AAO,2024,Add-on Fixed Combination Therapy,Strong,High
9PM,Latanoprost,Cipla,AIOS,2023,First-line Therapy,Strong,High
Ioprost,Latanoprost,Cipla,AIOS,2023,First-line Therapy,Strong,High
Brimolol,Brimonidine + Timolol,Cipla,AIOS,2023,Add-on Fixed Combination Therapy,Strong,High
Brimodin,Brimonidine,Cipla,EGS,2023,Add-on Therapy,Moderate,High
Brimodin P,Brimonidine,Cipla,EGS,2023,Add-on Therapy,Moderate,High
Dorzox T,Dorzolamide + Timolol,Cipla,NICE,2022,Add-on Therapy,Strong,High
Optipres,Betaxolol,Cipla,NICE,2022,Alternative First-line Therapy,Moderate,High
Dorzox,Dorzolamide,Cipla,NPCBVI,2022,Add-on Therapy,Moderate,Moderate
Duo 2,Brinzolamide+ Brimonidine,Entod Pharmaceuticals,AAO,2024,Add-on Fixed Combination Therapy,Strong,High
Abpress Eye,Brimonidine+ Timolol,Entod Pharmaceuticals,AIOS,2023,Add-on Fixed Combination Therapy,Strong,High
Timol-P,Timolol,Entod Pharmaceuticals,ICO,2022,Alternative First-line / Add-on Therapy,Moderate,High
Ocudor T,Dorzolamide + Timolol,Entod Pharmaceuticals,NICE,2022,Add-on Therapy,Strong,High
Endor Plus,Dorzolamide + Timolol,Entod Pharmaceuticals,NICE,2022,Add-on Therapy,Strong,High
Pilocar,Pilocarpine,FDC ltd.,AAO,2024,Second-line / Acute Therapy,Moderate,Moderate
